date,activity_level,Latitude,Longitude
Aug-13-2011,1,32.806671,-86.79113000000001
Aug-06-2011,1,32.806671,-86.79113000000001
Jul-30-2011,1,32.806671,-86.79113000000001
Jul-23-2011,1,32.806671,-86.79113000000001
Jul-16-2011,1,32.806671,-86.79113000000001
Jul-09-2011,1,32.806671,-86.79113000000001
Jul-02-2011,1,32.806671,-86.79113000000001
Jun-25-2011,1,32.806671,-86.79113000000001
Jun-18-2011,1,32.806671,-86.79113000000001
Jun-11-2011,1,32.806671,-86.79113000000001
Jun-04-2011,1,32.806671,-86.79113000000001
May-28-2011,1,32.806671,-86.79113000000001
May-21-2011,1,32.806671,-86.79113000000001
May-14-2011,1,32.806671,-86.79113000000001
May-07-2011,1,32.806671,-86.79113000000001
Apr-30-2011,1,32.806671,-86.79113000000001
Apr-23-2011,1,32.806671,-86.79113000000001
Apr-09-2011,1,32.806671,-86.79113000000001
Apr-16-2011,1,32.806671,-86.79113000000001
Apr-02-2011,1,32.806671,-86.79113000000001
Mar-26-2011,1,32.806671,-86.79113000000001
Oct-30-2010,1,32.806671,-86.79113000000001
Nov-20-2010,1,32.806671,-86.79113000000001
Nov-13-2010,1,32.806671,-86.79113000000001
Oct-23-2010,1,32.806671,-86.79113000000001
Nov-06-2010,1,32.806671,-86.79113000000001
Oct-16-2010,1,32.806671,-86.79113000000001
Oct-09-2010,1,32.806671,-86.79113000000001
Dec-19-2015,2,32.806671,-86.79113000000001
Dec-26-2015,2,32.806671,-86.79113000000001
Jan-23-2016,2,32.806671,-86.79113000000001
Feb-06-2016,2,32.806671,-86.79113000000001
Apr-30-2016,2,32.806671,-86.79113000000001
Mar-19-2011,2,32.806671,-86.79113000000001
Oct-22-2011,2,32.806671,-86.79113000000001
Dec-03-2011,2,32.806671,-86.79113000000001
Jun-02-2012,2,32.806671,-86.79113000000001
Mar-30-2013,2,32.806671,-86.79113000000001
Apr-16-2016,3,32.806671,-86.79113000000001
Nov-28-2015,3,32.806671,-86.79113000000001
Feb-15-2014,3,32.806671,-86.79113000000001
Nov-02-2013,3,32.806671,-86.79113000000001
May-26-2012,3,32.806671,-86.79113000000001
Apr-14-2012,3,32.806671,-86.79113000000001
Nov-19-2011,3,32.806671,-86.79113000000001
Nov-05-2011,3,32.806671,-86.79113000000001
Oct-29-2011,3,32.806671,-86.79113000000001
Mar-21-2015,4,32.806671,-86.79113000000001
Feb-20-2016,4,32.806671,-86.79113000000001
Apr-23-2016,4,32.806671,-86.79113000000001
Nov-27-2010,4,32.806671,-86.79113000000001
Dec-04-2010,4,32.806671,-86.79113000000001
Nov-26-2011,4,32.806671,-86.79113000000001
Apr-07-2012,4,32.806671,-86.79113000000001
Nov-17-2012,4,32.806671,-86.79113000000001
Feb-23-2013,4,32.806671,-86.79113000000001
Mar-02-2013,4,32.806671,-86.79113000000001
Mar-09-2013,4,32.806671,-86.79113000000001
Oct-26-2013,4,32.806671,-86.79113000000001
Apr-09-2016,5,32.806671,-86.79113000000001
Nov-15-2014,5,32.806671,-86.79113000000001
Feb-08-2014,5,32.806671,-86.79113000000001
Nov-16-2013,5,32.806671,-86.79113000000001
Nov-09-2013,5,32.806671,-86.79113000000001
Mar-23-2013,5,32.806671,-86.79113000000001
Mar-16-2013,5,32.806671,-86.79113000000001
Feb-09-2013,5,32.806671,-86.79113000000001
May-12-2012,5,32.806671,-86.79113000000001
Apr-21-2012,5,32.806671,-86.79113000000001
Mar-31-2012,5,32.806671,-86.79113000000001
Mar-24-2012,5,32.806671,-86.79113000000001
Jan-07-2012,5,32.806671,-86.79113000000001
Nov-12-2011,5,32.806671,-86.79113000000001
Feb-07-2015,6,32.806671,-86.79113000000001
Mar-14-2015,6,32.806671,-86.79113000000001
Feb-27-2016,6,32.806671,-86.79113000000001
Dec-10-2011,6,32.806671,-86.79113000000001
Jan-14-2012,6,32.806671,-86.79113000000001
Apr-28-2012,6,32.806671,-86.79113000000001
May-05-2012,6,32.806671,-86.79113000000001
Nov-23-2013,6,32.806671,-86.79113000000001
Jan-18-2014,6,32.806671,-86.79113000000001
Mar-26-2016,7,32.806671,-86.79113000000001
Mar-19-2016,7,32.806671,-86.79113000000001
Nov-30-2013,7,32.806671,-86.79113000000001
Feb-16-2013,7,32.806671,-86.79113000000001
Feb-02-2013,7,32.806671,-86.79113000000001
May-19-2012,7,32.806671,-86.79113000000001
Dec-17-2011,7,32.806671,-86.79113000000001
Feb-28-2015,8,32.806671,-86.79113000000001
Dec-11-2010,8,32.806671,-86.79113000000001
Mar-12-2011,8,32.806671,-86.79113000000001
Dec-24-2011,8,32.806671,-86.79113000000001
Feb-01-2014,8,32.806671,-86.79113000000001
Apr-02-2016,9,32.806671,-86.79113000000001
Mar-05-2016,9,32.806671,-86.79113000000001
Mar-07-2015,9,32.806671,-86.79113000000001
Feb-14-2015,9,32.806671,-86.79113000000001
Jan-10-2015,9,32.806671,-86.79113000000001
Dec-06-2014,9,32.806671,-86.79113000000001
Jan-25-2014,9,32.806671,-86.79113000000001
Jan-26-2013,9,32.806671,-86.79113000000001
Jan-21-2012,9,32.806671,-86.79113000000001
Dec-31-2011,9,32.806671,-86.79113000000001
Nov-29-2014,10,32.806671,-86.79113000000001
Nov-22-2014,10,32.806671,-86.79113000000001
Dec-13-2014,10,32.806671,-86.79113000000001
Dec-27-2014,10,32.806671,-86.79113000000001
Dec-20-2014,10,32.806671,-86.79113000000001
Jan-03-2015,10,32.806671,-86.79113000000001
Jan-17-2015,10,32.806671,-86.79113000000001
Jan-24-2015,10,32.806671,-86.79113000000001
Jan-31-2015,10,32.806671,-86.79113000000001
Feb-21-2015,10,32.806671,-86.79113000000001
Mar-12-2016,10,32.806671,-86.79113000000001
Jan-01-2011,10,32.806671,-86.79113000000001
Jan-08-2011,10,32.806671,-86.79113000000001
Dec-25-2010,10,32.806671,-86.79113000000001
Dec-18-2010,10,32.806671,-86.79113000000001
Jan-15-2011,10,32.806671,-86.79113000000001
Jan-22-2011,10,32.806671,-86.79113000000001
Feb-05-2011,10,32.806671,-86.79113000000001
Jan-29-2011,10,32.806671,-86.79113000000001
Feb-12-2011,10,32.806671,-86.79113000000001
Feb-19-2011,10,32.806671,-86.79113000000001
Feb-26-2011,10,32.806671,-86.79113000000001
Mar-05-2011,10,32.806671,-86.79113000000001
Jan-28-2012,10,32.806671,-86.79113000000001
Feb-04-2012,10,32.806671,-86.79113000000001
